CellCode,monthSet,start,end,geo
"24817",start_10_end_1,"10",1,"POLYGON ((-16.59934 27.90941, -16.53908 27.92853, -16.47879 27.94761, -16.41849 27.96665, -16.35816 27.98564, -16.29782 28.0046, -16.23745 28.02351, -16.17706 28.04238, -16.11666 28.0612, -16.05623 28.07999, -15.99579 28.09873, -15.93532 28.11743, -15.87484 28.13608, -15.81434 28.1547, -15.75381 28.17327, -15.69327 28.1918, -15.6327 28.21029, -15.64911 28.26456, -15.66555 28.31882, -15.68202 28.37307, -15.69853 28.42731, -15.71506 28.48153, -15.73164 28.53575, -15.74824 28.58995, -15.76488 28.64414, -15.78155 28.69832, -15.79826 28.75248, -15.815 28.80664, -15.83177 28.86078, -15.84858 28.91491, -15.86542 28.96903, -15.8823 29.02314, -15.89921 29.07724, -15.96027 29.05853, -16.02131 29.03979, -16.08233 29.021, -16.14333 29.00217, -16.20431 28.98329, -16.26527 28.96438, -16.32621 28.94542, -16.38712 28.92642, -16.44802 28.90737, -16.50889 28.88828, -16.56975 28.86915, -16.63058 28.84998, -16.69139 28.83076, -16.75218 28.81151, -16.81295 28.79221, -16.8737 28.77286, -16.85629 28.71899, -16.83892 28.6651, -16.82158 28.6112, -16.80428 28.55729, -16.78701 28.50337, -16.76978 28.44944, -16.75258 28.39549, -16.73542 28.34153, -16.71829 28.28756, -16.70119 28.23357, -16.68413 28.17958, -16.66711 28.12557, -16.65012 28.07155, -16.63316 28.01751, -16.61623 27.96347, -16.59934 27.90941))"
"117551",start_11_end_2,"11",2,"POLYGON ((10.87478 36.56256, 10.94398 36.56189, 11.01319 36.56117, 11.08239 36.5604, 11.15158 36.55957, 11.22078 36.5587, 11.28998 36.55777, 11.35917 36.55679, 11.42836 36.55577, 11.49755 36.55469, 11.56674 36.55356, 11.63593 36.55237, 11.70511 36.55114, 11.77429 36.54986, 11.84347 36.54852, 11.91265 36.54714, 11.98183 36.5457, 11.985 36.65929, 11.98818 36.77286, 11.99138 36.88642, 11.9946 36.99996, 11.99783 37.11348, 12.00107 37.22699, 12.00433 37.34048, 12.00761 37.45395, 11.93753 37.45541, 11.86745 37.45681, 11.79738 37.45817, 11.72729 37.45947, 11.65721 37.46072, 11.58712 37.46192, 11.51704 37.46307, 11.44695 37.46417, 11.37685 37.46521, 11.30676 37.46621, 11.23667 37.46715, 11.16657 37.46803, 11.09647 37.46887, 11.02637 37.46966, 10.95627 37.47039, 10.88617 37.47107, 10.88472 37.35757, 10.88328 37.24404, 10.88185 37.13051, 10.88042 37.01695, 10.879 36.90338, 10.87759 36.78979, 10.87618 36.67619, 10.87478 36.56256))"
"137507",start_6_end_9,"6",9,"POLYGON ((25.95148 48.06084, 26.11589 48.03655, 26.28015 48.01203, 26.44427 47.98726, 26.60824 47.96224, 26.77207 47.93698, 26.93575 47.91148, 27.09929 47.88574, 27.26267 47.85975, 27.30048 47.96871, 27.33849 48.07764, 27.37671 48.18655, 27.41514 48.29544, 27.45378 48.4043, 27.49264 48.51314, 27.53171 48.62195, 27.57099 48.73074, 27.40497 48.75725, 27.23879 48.78351, 27.07244 48.80953, 26.90595 48.8353, 26.73929 48.86082, 26.57248 48.8861, 26.40552 48.91112, 26.23841 48.9359, 26.20184 48.82659, 26.16548 48.71727, 26.12932 48.60791, 26.09336 48.49854, 26.05759 48.38915, 26.02203 48.27973, 25.98666 48.1703, 25.95148 48.06084))"
"348976",start_6_end_9,"6",9,"POLYGON ((32.40604 46.90236, 32.56394 46.86858, 32.72166 46.83457, 32.8792 46.80034, 33.03656 46.76587, 33.19373 46.73118, 33.35072 46.69626, 33.50752 46.66111, 33.66414 46.62574, 33.68896 46.67874, 33.71384 46.73173, 33.73879 46.78472, 33.76381 46.83769, 33.78888 46.89065, 33.81403 46.9436, 33.83924 46.99654, 33.86451 47.04948, 33.88985 47.1024, 33.91526 47.15531, 33.94073 47.20821, 33.96627 47.2611, 33.99187 47.31398, 34.01755 47.36685, 34.04329 47.41971, 34.06909 47.47256, 33.91028 47.50861, 33.75127 47.54443, 33.59207 47.58001, 33.43266 47.61537, 33.27307 47.65049, 33.11328 47.68538, 32.95329 47.72004, 32.79311 47.75447, 32.76844 47.70128, 32.74383 47.64809, 32.71929 47.59488, 32.69481 47.54166, 32.6704 47.48844, 32.64605 47.43521, 32.62176 47.38196, 32.59754 47.32871, 32.57338 47.27545, 32.54929 47.22218, 32.52526 47.1689, 32.50129 47.11561, 32.47738 47.06231, 32.45354 47.009, 32.42976 46.95568, 32.40604 46.90236))"
"427821",start_6_end_9,"6",9,"POLYGON ((21.49877 63.17476, 21.74235 63.15618, 21.98563 63.13721, 22.22863 63.11786, 22.47132 63.09812, 22.7137 63.078, 22.95577 63.0575, 23.19752 63.03662, 23.43896 63.01536, 23.48943 63.12561, 23.54034 63.23584, 23.59168 63.34606, 23.64345 63.45627, 23.69567 63.56647, 23.74834 63.67666, 23.80146 63.78683, 23.85505 63.89699, 23.73088 63.90803, 23.60661 63.91898, 23.48226 63.92982, 23.35782 63.94057, 23.23329 63.95122, 23.10868 63.96178, 22.98397 63.97223, 22.85919 63.98259, 22.73431 63.99285, 22.60936 64.003, 22.48432 64.01306, 22.35919 64.02303, 22.23399 64.03289, 22.1087 64.04265, 21.98333 64.05231, 21.85789 64.06188, 21.81162 63.95101, 21.76576 63.84014, 21.7203 63.72926, 21.67523 63.61837, 21.63054 63.50748, 21.58624 63.39658, 21.54232 63.28567, 21.49877 63.17476))"
"439317",start_11_end_2,"11",2,"POLYGON ((40.78609 37.025, 40.85198 37.00254, 40.91783 36.98003, 40.98364 36.95747, 41.04942 36.93487, 41.11516 36.91222, 41.18087 36.88952, 41.24654 36.86678, 41.31218 36.844, 41.37778 36.82117, 41.44335 36.79829, 41.50888 36.77537, 41.57438 36.7524, 41.63984 36.72939, 41.70527 36.70633, 41.77066 36.68323, 41.83601 36.66008, 41.86123 36.7114, 41.8865 36.7627, 41.91183 36.81399, 41.93721 36.86526, 41.96264 36.91652, 41.98813 36.96776, 42.01367 37.01899, 42.03926 37.0702, 42.06491 37.1214, 42.09061 37.17259, 42.11637 37.22376, 42.14218 37.27491, 42.16804 37.32605, 42.19396 37.37717, 42.21994 37.42828, 42.24597 37.47937, 42.18004 37.50285, 42.11408 37.52627, 42.04808 37.54966, 41.98204 37.57299, 41.91597 37.59628, 41.84986 37.61953, 41.78371 37.64273, 41.71752 37.66588, 41.6513 37.68899, 41.58504 37.71205, 41.51875 37.73506, 41.45241 37.75803, 41.38604 37.78096, 41.31963 37.80383, 41.25319 37.82667, 41.18671 37.84945, 41.16126 37.79803, 41.13588 37.7466, 41.11054 37.69515, 41.08527 37.64368, 41.06004 37.5922, 41.03487 37.54071, 41.00975 37.48921, 40.98469 37.43768, 40.95968 37.38615, 40.93472 37.3346, 40.90982 37.28304, 40.88497 37.23146, 40.86017 37.17987, 40.83543 37.12826, 40.81073 37.07664, 40.78609 37.025))"
"451133",start_6_end_9,"6",9,"POLYGON ((19.31593 68.79592, 19.46751 68.78822, 19.61899 68.78039, 19.77037 68.77245, 19.92165 68.76438, 20.07283 68.75618, 20.2239 68.74787, 20.37487 68.73943, 20.52573 68.73087, 20.67648 68.72219, 20.82712 68.71338, 20.97764 68.70445, 21.12806 68.69541, 21.27836 68.68623, 21.42855 68.67694, 21.57862 68.66753, 21.72857 68.65799, 21.78619 68.76932, 21.84443 68.88065, 21.9033 68.99196, 21.96281 69.10327, 22.02298 69.21457, 22.08381 69.32587, 22.14531 69.43715, 22.20749 69.54843, 22.05173 69.55839, 21.89583 69.56823, 21.7398 69.57793, 21.58364 69.58751, 21.42735 69.59697, 21.27093 69.6063, 21.11438 69.61549, 20.9577 69.62457, 20.80091 69.63351, 20.64399 69.64233, 20.48695 69.65102, 20.32979 69.65958, 20.17251 69.66801, 20.01512 69.67632, 19.85761 69.6845, 19.69999 69.69255, 19.6501 69.58046, 19.60076 69.46838, 19.55197 69.3563, 19.50372 69.24422, 19.456 69.13215, 19.4088 69.02007, 19.36211 68.90799, 19.31593 68.79592))"
"538496",start_5_end_8,"5",8,"POLYGON ((3.451921 44.50544, 3.608364 44.51518, 3.764856 44.52469, 3.921394 44.53396, 4.077977 44.54299, 4.234605 44.55179, 4.391276 44.56035, 4.547989 44.56868, 4.704744 44.57678, 4.694166 44.68916, 4.683532 44.80153, 4.672843 44.91389, 4.662097 45.02624, 4.651294 45.13858, 4.640433 45.25091, 4.629515 45.36322, 4.618539 45.47553, 4.459257 45.46729, 4.300018 45.4588, 4.140825 45.45008, 3.981677 45.44111, 3.822577 45.43191, 3.663525 45.42246, 3.504523 45.41278, 3.345572 45.40286, 3.359113 45.29072, 3.372581 45.17857, 3.385979 45.06641, 3.399306 44.95424, 3.412564 44.84206, 3.425751 44.72986, 3.43887 44.61766, 3.451921 44.50544))"
"844353",start_6_end_9,"6",9,"POLYGON ((25.66357 42.60159, 25.81293 42.5781, 25.96219 42.5544, 26.11134 42.53047, 26.26038 42.50632, 26.40932 42.48196, 26.55816 42.45737, 26.70688 42.43257, 26.85549 42.40755, 26.87124 42.4624, 26.88702 42.51724, 26.90284 42.57207, 26.9187 42.6269, 26.9346 42.68172, 26.95054 42.73653, 26.96651 42.79134, 26.98253 42.84614, 26.99859 42.90094, 27.01468 42.95573, 27.03082 43.01051, 27.047 43.06529, 27.06321 43.12006, 27.07947 43.17482, 27.09577 43.22957, 27.1121 43.28432, 26.96143 43.30978, 26.81064 43.33501, 26.65973 43.36002, 26.50871 43.38481, 26.35758 43.40938, 26.20634 43.43372, 26.05498 43.45785, 25.90351 43.48175, 25.87299 43.37181, 25.84263 43.26185, 25.81241 43.15187, 25.78235 43.04186, 25.75243 42.93183, 25.72266 42.82177, 25.69305 42.71169, 25.66357 42.60159))"
"1152480",start_6_end_9,"6",9,"POLYGON ((21.69902 53.14154, 22.06813 53.10489, 22.25247 53.08614, 22.43665 53.06712, 22.62069 53.04781, 22.80458 53.02822, 22.98831 53.00835, 23.17188 52.98821, 23.20589 53.09839, 23.2401 53.20856, 23.27453 53.31872, 23.30918 53.42886, 23.34404 53.53899, 23.37913 53.6491, 23.41443 53.7592, 23.44996 53.86928, 23.26273 53.88991, 23.07533 53.91026, 22.88776 53.93031, 22.70003 53.95008, 22.51214 53.96957, 22.32409 53.98877, 22.13588 54.00767, 21.94752 54.0263, 21.91577 53.91574, 21.88421 53.80517, 21.85286 53.6946, 21.8217 53.58401, 21.79074 53.47341, 21.75998 53.3628, 21.72941 53.25217, 21.69902 53.14154))"
