system.index,CellCode,PLOTID,stratum,.geo,country,geometry
000000000000000000b0_0,1609724,a7-33941132364701_47-41510125834054,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(7.33941132364701, 47.4151012583405)"
0000000000000000145c_0,1609724,a7-83619155493412_47-57592228000586,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(7.83619155493412, 47.5759222800059)"
00000000000000002654_0,1609724,a7-69431800400102_47-46731294107149,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(7.69431800400102, 47.4673129410715)"
000000000000000000dc_0,26961052,a7-33028401934533_47-19044630708586,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(7.33028401934533, 47.1904463070859)"
00000000000000000221_0,26961052,a8-10156276255079_47-10483632382891,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(8.10156276255079, 47.1048363238289)"
000000000000000002fc_0,26961052,a7-1501258678302_46-91022233147673,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(7.1501258678302, 46.9102223314767)"
00000000000000000877_0,26961052,a7-14514056071305_46-74288408400163,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(7.14514056071305, 46.7428840840016)"
00000000000000000882_0,26961052,a7-57170181529897_47-20521253726678,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(7.57170181529897, 47.2052125372668)"
00000000000000000de0_0,26961052,a7-28642391554954_46-81473098279726,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(7.28642391554954, 46.8147309827973)"
00000000000000000e91_0,26961052,a8-21160380011483_47-22943439979756,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(8.21160380011483, 47.2294343997976)"
00000000000000000f96_0,26961052,a7-64733629397948_47-02297739526234,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(7.64733629397948, 47.0229773952623)"
0000000000000000131b_0,26961052,a7-44530682594618_46-83689702857753,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(7.44530682594618, 46.8368970285775)"
000000000000000013f1_0,26961052,a7-61581020017494_46-83953785610566,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(7.61581020017494, 46.8395378561057)"
0000000000000000150e_0,26961052,a7-42408722801029_46-50018482214453,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(7.42408722801029, 46.5001848221445)"
00000000000000001a36_0,26961052,a7-18351516122222_46-64370866198412,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(7.18351516122222, 46.6437086619841)"
00000000000000001f37_0,26961052,a7-69433120539194_47-14457791605975,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(7.69433120539194, 47.1445779160598)"
00000000000000002323_0,26961052,a7-5227350164223_47-202575053157,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(7.5227350164223, 47.202575053157)"
00000000000000002626_0,26961052,a7-58660809428048_46-8017777889972,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(7.58660809428048, 46.8017777889972)"
00000000000000000b8a_0,32493957,a6-30649796418554_46-44003536419218,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(6.30649796418554, 46.4400353641922)"
0000000000000000132a_0,32493957,a6-13164549196166_46-16663382530771,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(6.13164549196166, 46.1666338253077)"
00000000000000000a77_0,34230195,a7-2300724351066_46-15527040504077,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(7.2300724351066, 46.1552704050408)"
000000000000000021ae_0,34230195,a7-4652870601883_46-4443149506013,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(7.4652870601883, 46.4443149506013)"
00000000000000000dc4_0,74765029,a8-75861971796005_47-4081984101601,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(8.75861971796005, 47.4081984101601)"
00000000000000000fa2_0,74765029,a9-54528927619469_47-46643771038691,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(9.54528927619469, 47.4664377103869)"
00000000000000001e29_0,74765029,a9-59259421305723_47-41783975317449,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(9.59259421305723, 47.4178397531745)"
00000000000000000154_0,86531882,a8-43014080592484_47-39702756049295,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(8.43014080592484, 47.397027560493)"
00000000000000000159_0,86531882,a9-19899803208724_46-99731945574673,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(9.19899803208724, 46.9973194557467)"
0000000000000000039d_0,86531882,a9-43464778822746_47-31685955152237,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(9.43464778822746, 47.3168595515224)"
000000000000000005cd_0,86531882,a8-55562123680893_47-05016135473702,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(8.55562123680893, 47.050161354737)"
00000000000000000e4a_0,86531882,a9-18429404760937_46-77625487329548,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(9.18429404760937, 46.7762548732955)"
00000000000000001115_0,86531882,a8-77668345611362_47-01722937123861,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(8.77668345611362, 47.0172293712386)"
000000000000000016a8_0,86531882,a9-66979778596781_47-04245356527894,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(9.66979778596781, 47.0424535652789)"
00000000000000001a2e_0,86531882,a9-31543180828344_46-68090884421865,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(9.31543180828344, 46.6809088442186)"
0000000000000000209a_0,86531882,a9-55546944402283_46-69333305538962,buffer nature stable,"{""type"":""MultiPoint"",""coordinates"":[]}",CHE,"c(9.55546944402283, 46.6933330553896)"
