system:index,area,id,stratum,.geo
"93,8_0",276400.0,2.199844901E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"93,8_1",2000.0,2.199844901E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"90,9_0",3.0438E7,5.45835924E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"90,9_1",69200.0,5.45835924E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"90,9_2",4000.0,5.45835924E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"90,9_3",3200.0,5.45835924E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"91,9_0",2.80536E8,9.285140992E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"91,9_1",760000.0,9.285140992E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"91,9_2",34400.0,9.285140992E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"91,9_3",3200.0,9.285140992E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"91,9_4",18000.0,9.285140992E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"92,9_0",7.189692E8,1.836302905E9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"92,9_1",2361600.0,1.836302905E9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"92,9_2",18400.0,1.836302905E9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"92,9_3",8400.0,1.836302905E9,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"92,9_4",1200.0,1.836302905E9,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
"93,9_0",1.1782256E9,1.21412607E8,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
"93,9_1",2512800.0,1.21412607E8,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
"93,9_2",22000.0,1.21412607E8,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
"93,9_3",2800.0,1.21412607E8,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
"93,9_4",12000.0,1.21412607E8,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
