system:index,CellCode,area,stratum,type,.geo,ecoType
1_0,10113509,398077.4178237915,111,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
1_1,10113509,99981682.20133972,112,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
1_2,10113509,19624105.14868927,121,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
1_3,10113509,277153.049697876,122,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
1_4,10113509,454087.2271499634,123,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
1_5,10113509,3939329.5447616577,124,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
1_6,10113509,3074482.0149536133,131,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
1_7,10113509,129724.8881225586,132,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
1_8,10113509,1804076.7298736572,133,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
1_9,10113509,2515599.2361297607,141,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
1_10,10113509,8918421.4107888,142,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
1_11,10113509,349961958.24506015,211,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Cropland
1_12,10113509,100020672.47077328,231,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Grassland
1_13,10113509,72801152.55129215,242,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Cropland
1_14,10113509,340892242.3557304,243,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Cropland
1_15,10113509,141500362.01018745,311,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Woodland and forest
1_16,10113509,102818350.77567013,312,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Woodland and forest
1_17,10113509,13805570.096775249,313,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Woodland and forest
1_18,10113509,358476720.303637,322,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Heathland and shrub
1_19,10113509,2130894.266304016,324,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Woodland and forest
1_20,10113509,1293783.8950424194,331,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Sparsely vegetated land
1_21,10113509,666771.8820114136,332,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Sparsely vegetated land
1_22,10113509,283592776.1015902,333,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Sparsely vegetated land
1_23,10113509,17054757.775647454,412,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Wetlands
1_24,10113509,11323615.425932134,512,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Wetlands
1_25,10113509,10693381.073376734,523,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Wetlands
2_0,10113509,467785.4417877197,112,loss,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
2_1,10113509,175935.11236572266,121,loss,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
2_2,10113509,6301.221778869629,123,loss,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
2_3,10113509,16203.87572479248,124,loss,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
2_4,10113509,43204.932762146,131,loss,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
2_5,10113509,6100.950988769531,133,loss,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
2_6,10113509,11002.210105895996,141,loss,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
2_7,10113509,26003.878440856937,142,loss,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
2_8,10113509,2184160.8045654297,211,loss,"{""type"":""MultiPoint"",""coordinates"":[]}",Cropland
2_9,10113509,554378.2440185547,231,loss,"{""type"":""MultiPoint"",""coordinates"":[]}",Grassland
2_10,10113509,565701.3790740967,242,loss,"{""type"":""MultiPoint"",""coordinates"":[]}",Cropland
2_11,10113509,1437010.1055914187,243,loss,"{""type"":""MultiPoint"",""coordinates"":[]}",Cropland
2_12,10113509,169246.2322380814,311,loss,"{""type"":""MultiPoint"",""coordinates"":[]}",Woodland and forest
2_13,10113509,217422.68759155273,312,loss,"{""type"":""MultiPoint"",""coordinates"":[]}",Woodland and forest
2_14,10113509,1500.1331939697266,313,loss,"{""type"":""MultiPoint"",""coordinates"":[]}",Woodland and forest
2_15,10113509,351242.5226364136,322,loss,"{""type"":""MultiPoint"",""coordinates"":[]}",Heathland and shrub
2_16,10113509,399.98070526123047,324,loss,"{""type"":""MultiPoint"",""coordinates"":[]}",Woodland and forest
2_17,10113509,5901.575531005859,331,loss,"{""type"":""MultiPoint"",""coordinates"":[]}",Sparsely vegetated land
2_18,10113509,158012.24215698242,333,loss,"{""type"":""MultiPoint"",""coordinates"":[]}",Sparsely vegetated land
2_19,10113509,5000.884895324707,412,loss,"{""type"":""MultiPoint"",""coordinates"":[]}",Wetlands
2_20,10113509,6800.405731201172,512,loss,"{""type"":""MultiPoint"",""coordinates"":[]}",Wetlands
2_21,10113509,28503.654335021973,523,loss,"{""type"":""MultiPoint"",""coordinates"":[]}",Wetlands
1_0,10137809,19253672.82749948,111,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
1_1,10137809,1627628037.8011224,112,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
1_2,10137809,123445743.70696291,121,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
1_3,10137809,29513408.51945379,122,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
1_4,10137809,342130.31957244873,123,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
1_5,10137809,18701389.64039597,124,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
1_6,10137809,33131287.670917705,131,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
1_7,10137809,1835009.2175216677,132,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
1_8,10137809,8096435.439193277,133,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
1_9,10137809,23756989.30409552,141,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
1_10,10137809,69087960.04542197,142,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
1_11,10137809,2935625761.6817775,211,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Cropland
1_12,10137809,67402757.956136107,222,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Cropland
1_13,10137809,780765264.4996433,231,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Grassland
1_14,10137809,1380769121.3487728,242,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Cropland
1_15,10137809,551217389.5030001,243,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Cropland
1_16,10137809,1213033997.081519,311,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Woodland and forest
1_17,10137809,148693890.22467396,312,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Woodland and forest
1_18,10137809,838315075.7640295,313,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Woodland and forest
1_19,10137809,3759165.747840882,321,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Grassland
1_20,10137809,14173149.27458858,322,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Heathland and shrub
1_21,10137809,56944235.6716145,324,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Woodland and forest
1_22,10137809,1164769.9997711182,411,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Wetlands
1_23,10137809,6683239.10334344,511,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Wetlands
1_24,10137809,3354745.4585966226,512,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}",Wetlands
2_0,10137809,5203.049560546875,111,loss,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
2_1,10137809,11325713.342619922,112,loss,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
2_2,10137809,2039613.274553486,121,loss,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
2_3,10137809,169052.5386640661,122,loss,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
2_4,10137809,484541.6181676827,124,loss,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
2_5,10137809,490965.67265319824,131,loss,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
2_6,10137809,16908.62728881836,132,loss,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
2_7,10137809,978494.23021698,133,loss,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
2_8,10137809,78442.78744506836,141,loss,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
2_9,10137809,416279.0514755249,142,loss,"{""type"":""MultiPoint"",""coordinates"":[]}",Artificial
2_10,10137809,6416858.583664479,211,loss,"{""type"":""MultiPoint"",""coordinates"":[]}",Cropland
