system:index,CellCode,area,stratum,type,.geo
1_0,10113509,1690641809.3680935,708,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,10113509,75779865.60864377,780,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,10113509,5495353.167128828,708,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,10113509,81032.30560362572,780,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,10137809,7553447690.376215,664,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,10137809,2403246937.431104,686,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,10137809,30177328.64949164,664,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,10137809,4678644.456096514,686,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,10484072,9990917725.882557,646,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,10484072,54698194.67784376,646,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,10554854,2082058921.613042,792,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,10554854,7910482923.128865,793,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,10554854,121388.9690170288,792,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,10554854,3388385.4253627704,793,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,10576379,9934768052.815891,651,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,10576379,387444.60098359344,663,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,10576379,72200635.72250526,651,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,10617881,2499603538.7981653,650,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,10617881,7486809199.744285,727,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,10617881,1301980.6424868414,650,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,10617881,10100725.466100056,727,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,10705791,1029125083.265296,664,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,10705791,8923147447.813118,686,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,10705791,3795942.9995542336,664,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,10705791,17246884.897279687,686,loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,10769627,8673054897.060705,654,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,10769627,1278995067.8378236,661,allLand,"{""type"":""MultiPoint"",""coordinates"":[]}"
