system:index,CoordString,LATITUDE,LC,LONGITUDE,PLOTID,batch,first,.geo
000000000000000003e4,"52.04043, -10.00189",52.04043,1,-10.00189,id_99859399,pilot_sample,6.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003a8,"53.86466, -9.31053",53.86466,1,-9.31053,id_93871337,pilot_sample,6.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c2,"39.25292, -9.20622",39.25292,1,-9.20622,id_51384921,pilot_sample,7.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001aa,"53.71664, -9.19347",53.71664,1,-9.19347,id_49240356,pilot_sample,6.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000282,"52.83938, -9.1598",52.83938,1,-9.1598,id_67780445,pilot_sample,6.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000253,"39.50783, -8.9989",39.50783,1,-8.9989,id_64258733,pilot_sample,7.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b,"51.86129, -8.98246",51.86129,1,-8.98246,id_1992937,pilot_sample,6.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000331,"39.87829, -8.82112",39.87829,1,-8.82112,id_83873186,pilot_sample,7.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000148,"40.3283, -8.74531",40.3283,1,-8.74531,id_4153908,pilot_sample,7.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000079,"38.88552, -8.72929",38.88552,1,-8.72929,id_23423283,pilot_sample,7.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a1,"51.94394, -8.69246",51.94394,1,-8.69246,id_27062167,pilot_sample,6.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014d,"39.31281, -8.65073",39.31281,1,-8.65073,id_41894032,pilot_sample,7.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000027d,"42.43702, -8.65",42.43702,1,-8.65,id_67034259,pilot_sample,6.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000028d,"38.27356, -8.64442",38.27356,1,-8.64442,id_69188006,pilot_sample,7.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
