system:index,CellCode,area,country,stratum,.geo
000000000000000000a0_0,10113509,1568080129.656701,NOR,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_1,10113509,342053503.76857215,NOR,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_2,10113509,6200273.893475072,NOR,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_3,10113509,2105334.2519010655,NOR,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_4,10113509,4934653.045025994,NOR,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_5,10113509,1156204.0186971328,NOR,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_0,10137809,5496117523.149175,BEL,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_1,10137809,4018210356.857917,BEL,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_2,10137809,41709726.43928976,BEL,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_3,10137809,17371614.68363923,BEL,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_4,10137809,25054720.772918195,BEL,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_5,10137809,6436406.872170093,BEL,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c_0,10137809,298867501.89151466,FRA,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c_1,10137809,51460269.816347584,FRA,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c_2,10137809,761533.556522115,FRA,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c_3,10137809,258672.4296535118,FRA,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c_4,10137809,417050.45268225577,FRA,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c_5,10137809,27105.435549328373,FRA,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a_0,10484072,120224585.51279037,MKD,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a_1,10484072,20737576.5234884,MKD,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a_2,10484072,210943.76802930643,MKD,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a_3,10484072,167350.7211242975,MKD,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a_4,10484072,120803.16762788064,MKD,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a_5,10484072,80199.596193351,MKD,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6_0,10484072,7712445093.516677,SRB,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6_1,10484072,2005271250.227889,SRB,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6_2,10484072,39750090.68931376,SRB,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6_3,10484072,40506891.757298134,SRB,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6_4,10484072,26702917.583330072,SRB,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6_5,10484072,24699060.946889333,SRB,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045_0,10554854,6083370528.314819,ESP,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045_1,10554854,3898689029.7761345,ESP,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045_2,10554854,4566066.12146448,ESP,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045_3,10554854,2818151.116042433,ESP,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045_4,10554854,2307552.0496297497,ESP,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045_5,10554854,790517.3640907436,ESP,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000df_0,10576379,5427155640.954769,GBR,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000df_1,10576379,4373633391.233361,GBR,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000df_2,10576379,42701878.801610045,GBR,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000df_3,10576379,25482272.56562114,GBR,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000df_4,10576379,49162750.394708395,GBR,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000df_5,10576379,17019563.46669913,GBR,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d9_0,10617881,8940772301.99914,TUR,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d9_1,10617881,1020055459.3779696,TUR,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d9_2,10617881,12148832.34587166,TUR,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d9_3,10617881,2474457.180811564,TUR,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d9_4,10617881,9613705.223798385,TUR,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d9_5,10617881,1347982.4148712158,TUR,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039_0,10705791,6344628898.27848,DEU,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039_1,10705791,3555941409.9308977,DEU,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039_2,10705791,19447791.879630923,DEU,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039_3,10705791,13288359.837784622,DEU,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039_4,10705791,11864611.871926429,DEU,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039_5,10705791,7101459.279944506,DEU,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069_0,10872098,1728795102.1717782,ISL,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069_1,10872098,800577.0834183935,ISL,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069_2,10872098,1366693.549484253,ISL,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069_3,10872098,22291.463821411133,ISL,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069_4,10872098,148152.5045928955,ISL,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000df_0,11026903,6515961328.575937,GBR,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000df_1,11026903,3293891202.9842,GBR,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000df_2,11026903,44250645.00375791,GBR,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000df_3,11026903,23042810.10877279,GBR,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000df_4,11026903,41970021.96731474,GBR,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000df_5,11026903,7066022.886043953,GBR,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000df_0,11163546,2272285264.6151133,GBR,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000df_1,11163546,234447569.08109897,GBR,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000df_2,11163546,21865678.75236353,GBR,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000df_3,11163546,4481852.5714884745,GBR,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000df_4,11163546,13722571.64957793,GBR,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000df_5,11163546,420552.89560798195,GBR,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063_0,11163546,4218582899.428554,IRL,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063_1,11163546,773611616.4121845,IRL,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063_2,11163546,38091290.322642006,IRL,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063_3,11163546,10750427.674934596,IRL,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063_4,11163546,27645410.928686492,IRL,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063_5,11163546,3290727.2236175537,IRL,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039_0,11258299,2460567824.2007055,DEU,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039_1,11258299,2901685809.640418,DEU,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039_2,11258299,10809958.849502863,DEU,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039_3,11258299,5960528.871971908,DEU,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039_4,11258299,6193617.013018709,DEU,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039_5,11258299,2762957.7990112305,DEU,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_0,11258299,1758997.4961445532,DNK,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_1,11258299,6540492.226035714,DNK,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_2,11258299,18998.177215576172,DNK,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_3,11258299,14698.650245666504,DNK,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_4,11258299,4899.579452514648,DNK,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_5,11258299,7399.351951599121,DNK,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a_0,11283583,3234204470.4743905,CHE,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a_1,11283583,119605063.02329022,CHE,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a_2,11283583,4958289.234209187,CHE,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a_3,11283583,1394185.0336661246,CHE,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a_4,11283583,1885130.3131054745,CHE,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a_5,11283583,27221.72430419922,CHE,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_0,11283583,5026965520.528287,ITA,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_1,11283583,1039378531.9779756,ITA,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_2,11283583,42133957.24005741,ITA,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_3,11283583,11951904.693390071,ITA,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_4,11283583,16450386.161946556,ITA,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_5,11283583,1961206.4034319709,ITA,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac_0,1152480,7010047902.789313,POL,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac_1,1152480,2759374501.0437226,POL,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac_2,1152480,28893030.683288064,POL,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac_3,1152480,11512189.945887338,POL,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac_4,1152480,25293873.837730855,POL,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
