system:index,CellCode,LATITUDE,LONGITUDE,PLOTID,batch,constant,country,stratum,.geo
00000000000000000175_0,16451981,47.32284572284219,11.07329934454915,a11-07329934454915_47-32284572284219,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000026c0_0,16451981,47.31021982484196,11.14612773301141,a11-14612773301141_47-31021982484196,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_0,38676589,47.83943343507521,14.7514730741483,a14-7514730741483_47-83943343507521,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ad_0,38676589,47.81083199989532,14.93154099424486,a14-93154099424486_47-81083199989532,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000572_0,38676589,47.88499557496952,14.5572197520204,a14-5572197520204_47-88499557496952,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001056_0,38676589,48.07625830333357,15.06568405599314,a15-06568405599314_48-07625830333357,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001285_0,38676589,48.17938549903589,14.24199618674288,a14-24199618674288_48-17938549903589,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb_0,48752521,47.65457985842402,12.31898016642846,a12-31898016642846_47-65457985842402,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001626_0,49226925,48.23932546323028,16.49537484697038,a16-49537484697038_48-23932546323028,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cc_0,58442187,48.37545928429972,14.34097164387792,a14-34097164387792_48-37545928429972,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c21_0,58442187,48.30672339403396,14.0020318065683,a14-0020318065683_48-30672339403396,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e54_0,58442187,48.2675798105693,14.44596158925265,a14-44596158925265_48-2675798105693,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017c6_0,58442187,48.42778442915339,14.57409896526346,a14-57409896526346_48-42778442915339,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000025f4_0,58442187,48.34682386187901,14.47835937909255,a14-47835937909255_48-34682386187901,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000126_0,60794286,47.59573361635773,13.46969434146811,a13-46969434146811_47-59573361635773,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002fd_0,60794286,48.01797958410335,13.09587461697209,a13-09587461697209_48-01797958410335,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d6d_0,60794286,48.13201384776153,12.80526052443456,a12-80526052443456_48-13201384776153,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001854_0,60794286,47.83830721083802,13.41513152710657,a13-41513152710657_47-83830721083802,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001866_0,60794286,48.15201517861365,13.1981820147006,a13-1981820147006_48-15201517861365,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009b_0,64850499,47.06318351504612,16.11812161189928,a16-11812161189928_47-06318351504612,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000b8e_0,64850499,46.97079507284426,16.13317488186389,a16-13317488186389_46-97079507284426,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d72_0,64850499,47.06673251179513,15.21699090051483,a15-21699090051483_47-06673251179513,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017be_0,64850499,46.85318378484737,15.53245930356768,a15-53245930356768_46-85318378484737,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001958_0,64850499,47.23422594108937,15.99713624711564,a15-99713624711564_47-23422594108937,countries,5,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000025ec_0,64850499,47.08750432576166,15.75393614679769,a15-75393614679769_47-08750432576166,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000802_0,69813674,47.11875156036533,14.0234364973311,a14-0234364973311_47-11875156036533,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000109d_0,69813674,46.86033251212655,14.83592847822027,a14-83592847822027_46-86033251212655,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000026f6_0,69813674,46.66894636594451,14.12143523984342,a14-12143523984342_46-66894636594451,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000009d9_0,73573979,47.79103608025213,16.21017833942676,a16-21017833942676_47-79103608025213,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ca0_0,73573979,47.25735064644493,16.09071234637404,a16-09071234637404_47-25735064644493,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000215b_0,73573979,47.53824195330453,16.15769246909183,a16-15769246909183_47-53824195330453,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002226_0,73573979,47.63364067206213,16.23707423517427,a16-23707423517427_47-63364067206213,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002427_0,73573979,47.97292763103972,15.97192490855908,a15-97192490855908_47-97292763103972,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001852_0,78858557,47.6988494936212,16.42777957754398,a16-42777957754398_47-6988494936212,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cfb_0,82819378,46.58390784587915,13.62177898179356,a13-62177898179356_46-58390784587915,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013e0_0,82819378,46.91769366378972,12.40163689489824,a12-40163689489824_46-91769366378972,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001691_0,82819378,46.97062519629857,12.68981493930099,a12-68981493930099_46-97062519629857,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a3_0,88898784,48.62306721131613,16.23588263382747,a16-23588263382747_48-62306721131613,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001256_0,88898784,48.32089495530017,15.88609887707363,a15-88609887707363_48-32089495530017,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001f61_0,88898784,48.79543698940313,15.5230955447233,a15-5230955447233_48-79543698940313,countries,3,AUT,buffer nature,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000162f_0,18079518,47.13149356440354,10.10160584222469,a10-10160584222469_47-13149356440354,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000156a_0,38676589,48.12191694815876,14.19697172098201,a14-19697172098201_48-12191694815876,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015ee_0,38676589,48.07217129334286,14.90323742201202,a14-90323742201202_48-07217129334286,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001be2_0,38676589,48.11971386053258,14.02182409785163,a14-02182409785163_48-11971386053258,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000025a6_0,38676589,47.98481555370628,14.03262549394164,a14-03262549394164_47-98481555370628,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001b7d_0,48752521,47.49908671139994,11.70946894090424,a11-70946894090424_47-49908671139994,countries,4,AUT,buffer other,"{""type"":""MultiPoint"",""coordinates"":[]}"
