selectedName,sessionID,REFID,INDEX,verification,baseline_land_use,change_year,change_type
zander,1729690357627,id_20710881,0,yes,shrubland,2021,transport
zander,1729690357627,id_84128106,1,yes,forest,2022,transport
zander,1729690662401,id_62196806,0,yes,cropland,2023,uncertain
zander,1729690662401,id_82331305,2,yes,grassland,2021,residential
zander,1729690662401,id_48685005,3,no,,,
zander,1729690662401,id_45951966,4,yes,cropland,2022,agriculture
zander,1729690662401,id_73841398,5,no,,,
zander,1729690662401,id_30349601,6,no,,,
zander,1729690662401,id_43040596,7,no,,,
zander,1729690662401,id_27960396,8,no,,,
zander,1729690662401,id_93407148,9,no,,,
zander,1729690662401,id_49127604,10,no,,,
zander,1729690662401,id_14445216,11,no,,,
zander,1729690662401,id_70155662,12,no,,,
zander,1729690662401,id_12441584,13,no,,,
zander,1729690662401,id_49653907,14,no,,,
zander,1729690662401,id_67306745,15,yes,grassland,2022,residential
zander,1729690662401,id_1846332,16,no,,,
zander,1729690662401,id_32444590,17,no,,,
zander,1729690662401,id_577941,18,no,,,
zander,1729690662401,id_12804904,19,no,,,
zander,1729690662401,id_77103954,20,yes,grassland,2020,industrial
zander,1729690662401,id_98303096,21,no,,,
zander,1729690662401,id_15511865,22,no,,,
zander,1730206757341,id_5309686,0,no,,,
zander,1730206757341,id_20879796,1,no,,,
zander,1730206757341,id_95714186,2,no,,,
zander,1730206757341,id_76529048,3,yes,grassland,2022,residential
leo,1730292030095,id_20412939,0,no,,,
leo,1730296217545,id_42476769,0,yes,grassland,2023,residential
leo,1730296217545,id_57906803,1,no,,,
leo,1730296217545,id_40756897,2,no,,,
leo,1730296217545,id_88248611,3,yes,shrubland,2019,energy
leo,1730296217545,id_89741727,4,no,,,
leo,1730296217545,id_34576811,5,no,,,
leo,1730296217545,id_9153576,6,yes,cropland,2018,uncertain
leo,1730296217545,id_63659824,7,uncertain,,,
leo,1730296217545,id_64590859,8,yes,cropland,2023,residential
leo,1730296217545,id_64033252,9,yes,cropland,uncertain,residential
leo,1730296217545,id_28511836,10,yes,cropland,2019,residential
leo,1730296217545,id_60143583,11,no,,,
leo,1730296217545,id_39261601,12,no,,,
leo,1730296217545,id_50107770,13,uncertain,,,
leo,1730296217545,id_54281393,14,no,,,
leo,1730296217545,id_51243431,15,no,,,
leo,1730296217545,id_34994585,16,no,,,
leo,1730296217545,id_72972934,17,yes,cropland,2022,residential
leo,1730296217545,id_99287131,18,no,,,
leo,1730296217545,id_20132153,19,no,,,
leo,1730296217545,id_51930450,20,yes,cropland,2023,residential
leo,1730296217545,id_94541760,21,no,,,
leo,1730296217545,id_37602613,22,yes,cropland,uncertain,residential
leo,1730296217545,id_70736779,23,no,,,
hazel,1730383762647,id_49399217,0,no,forest,,
hazel,1730383762647,id_94487374,1,no,,,
hazel,1730383762647,id_71428023,2,no,,,
hazel,1730383762647,id_75153443,3,no,,,
hazel,1730383762647,id_50365555,4,no,,,
hazel,1730383762647,id_99102316,5,no,,,
hazel,1730383762647,id_83415181,6,no,,,
hazel,1730383762647,id_93429541,7,no,,,
hazel,1730383762647,id_94366336,8,no,,,
hazel,1730383762647,id_89511512,9,no,,,
hazel,1730384619879,id_27838294,0,no,,,
hazel,1730384619879,id_27838294,1,no,,,
hazel,1730384619879,id_14435183,2,no,,,
sarah,1730384737139,id_14435183,0,no,,,
hazel,1730384619879,id_80440453,3,no,,,
sarah,1730384737139,id_80440453,1,no,,,
hazel,1730384619879,id_20492121,4,yes,bareland,2021,transport
hazel,1730384619879,id_15271716,5,no,,,
sarah,1730384737139,id_20492121,2,uncertain,,,
sarah,1730384737139,id_15271716,3,yes,shrubland,2022,uncertain
sarah,1730384737139,id_99127494,4,no,,,
sarah,1730384737139,id_25751959,5,uncertain,,,
sarah,1730384737139,id_69061915,6,uncertain,,,
sarah,1730384737139,id_46703440,7,no,,,
sarah,1730384737139,id_85200323,8,no,,,
sarah,1730384737139,id_93249783,9,no,,,
sarah,1730384737139,id_23423283,10,no,,,
sarah,1730384737139,id_63827404,11,no,,,
sarah,1730384737139,id_89923984,12,no,,,
sarah,1730384737139,id_76726814,13,no,,,
sarah,1730384737139,id_78870149,14,yes,forest,2023,industrial
sarah,1730384737139,id_31174630,15,no,,,
sarah,1730384737139,id_47699581,16,yes,bareland,2019,residential
sarah,1730384737139,id_78109528,17,no,,,
sarah,1730384737139,id_25356799,18,no,,,
sarah,1730384737139,id_55083036,19,no,,,
sarah,1730384737139,id_24124991,20,no,,,
sarah,1730384737139,id_94467707,21,no,,,
sarah,1730384737139,id_33732817,22,yes,forest,2023,transport
sarah,1730384737139,id_65009510,23,yes,cropland,2021,agriculture
sarah,1730384737139,id_1491889,24,yes,bareland,2018,transport
sarah,1730384737139,id_33466612,25,yes,bareland,2020,industrial
sarah,1730384737139,id_54209033,26,yes,forest,2021,agriculture
sarah,1730384737139,id_8872027,27,no,,,
sarah,1730384737139,id_8872027,27,uncertain,,,
sarah,1730384737139,id_12516439,28,no,,,
sarah,1730384737139,id_58522472,29,no,,,
sarah,1730384737139,id_16380536,30,no,,,
sarah,1730384737139,id_63665278,31,no,,,
leo,1730453371647,id_99213994,0,no,,,
leo,1730453371647,id_75080644,1,no,,,
sarah,1730455258460,id_99213994,0,no,,,
sarah,1730455258460,id_99213994,1,no,,,
leo,1730453371647,id_84309922,2,no,,,
sarah,1730455258460,id_75080644,2,no,,,
leo,1730453371647,id_72338539,3,no,,,
sarah,1730455258460,id_84309922,3,no,,,
sarah,1730455258460,id_72338539,4,no,,,
leo,1730453371647,id_86757605,4,no,,,
sarah,1730455258460,id_86757605,5,no,,,
sarah,1730455258460,id_18112807,6,no,,,
leo,1730453371647,id_18112807,5,no,,,
sarah,1730455258460,id_17717678,7,no,,,
sarah,1730455258460,id_48531421,8,no,,,
leo,1730453371647,id_17717678,6,no,,,
leo,1730453371647,id_48531421,7,no,,,
sarah,1730455258460,id_21080560,9,no,,,
leo,1730453371647,id_21080560,8,no,,,
sarah,1730455258460,id_81040511,10,no,,,
leo,1730453371647,id_81040511,9,no,,,
sarah,1730455258460,id_16051649,11,no,,,
leo,1730453371647,id_16051649,10,no,,,
sarah,1730455258460,id_62457927,12,no,,,
leo,1730453371647,id_62457927,11,no,,,
sarah,1730455258460,id_47986497,13,no,,,
leo,1730453371647,id_47986497,12,no,,,
leo,1730453371647,id_74235117,13,no,,,
leo,1730453371647,id_34116952,14,yes,shrubland,2022,residential
sarah,1730455258460,id_74235117,14,no,,,
leo,1730453371647,id_95758598,15,no,,,
leo,1730453371647,id_74067755,16,no,,,
leo,1730453371647,id_87528684,17,no,,,
leo,1730453371647,id_65851198,18,yes,cropland,2022,uncertain
leo,1730453371647,id_83871103,19,no,,,
leo,1730453371647,id_18534035,20,yes,shrubland,2020,residential
leo,1730453371647,id_69595201,21,yes,cropland,2023,industrial
leo,1730453371647,id_66920007,22,no,,,
leo,1730453371647,id_46133091,23,no,,,
leo,1730453371647,id_17243496,24,no,,,
leo,1730453371647,id_41569482,25,no,,,
leo,1730453371647,id_43010251,26,yes,grassland,uncertain,transport
leo,1730453371647,id_52127217,27,no,,,
leo,1730453371647,id_63814986,28,yes,cropland,2021,residential
leo,1730453371647,id_70487881,29,no,,,
leo,1730453371647,id_97478076,30,no,,,
sarah,1730458021649,id_99213994,0,no,,,
leo,1730453371647,id_59494107,31,no,,,
leo,1730453371647,id_58739082,32,no,,,
leo,1730453371647,id_37263077,33,no,,,
leo,1730453371647,id_30406286,34,no,,,
leo,1730453371647,id_44476479,35,no,,,
leo,1730453371647,id_40277687,36,no,,,
leo,1730453371647,id_27198714,37,no,,,
leo,1730453371647,id_4179394,38,no,,,
leo,1730453371647,id_71152630,39,no,,,
leo,1730453371647,id_35359690,40,no,,,
sarah,1730458021649,id_97478076,1,no,,,
sarah,1730458021649,id_59494107,2,uncertain,forest,2021,residential
sarah,1730458021649,id_58739082,3,no,,,
sarah,1730458021649,id_37263077,4,no,,,
sarah,1730458021649,id_30406286,5,no,,,
sarah,1730458021649,id_44476479,6,no,,,
sarah,1730458021649,id_40277687,7,no,,,
sarah,1730458021649,id_27198714,8,no,,,
sarah,1730458021649,id_4179394,9,no,,,
sarah,1730458021649,id_71152630,10,no,,,
sarah,1730458021649,id_35359690,11,no,,,
sarah,1730458021649,id_9721947,12,no,,,
sarah,1730458021649,id_92284831,13,no,,,
sarah,1730458021649,id_34073640,14,yes,bareland,2018,industrial
sarah,1730458021649,id_89078559,15,yes,grassland,2022,residential
sarah,1730458021649,id_35391063,16,yes,shrubland,2020,residential
sarah,1730458021649,id_5400748,17,no,,,
sarah,1730458021649,id_15602752,18,no,,,
sarah,1730458021649,id_67034259,19,no,,,
sarah,1730458021649,id_47261452,20,no,,,
sarah,1730458021649,id_51589976,21,yes,grassland,2023,residential
sarah,1730458021649,id_56949407,22,yes,grassland,2023,residential
sarah,1730458021649,id_85847695,23,no,,,
sarah,1730458021649,id_50922700,24,yes,grassland,2023,uncertain
sarah,1730458021649,id_43171421,25,no,,,
sarah,1730458021649,id_49294316,26,no,,,
sarah,1730458021649,id_44360177,27,no,,,
sarah,1730458021649,id_14436576,28,no,,,
sarah,1730458021649,id_43071208,29,no,,,
sarah,1730458021649,id_96083750,30,no,,,
sarah,1730458021649,id_28499354,31,no,,,
sarah,1730458021649,id_97818214,32,no,,,
sarah,1730458021649,id_11532554,33,no,,,
sarah,1730458021649,id_65383484,34,no,,,
sarah,1730458021649,id_92883617,35,no,,,
sarah,1730458021649,id_81939875,36,no,,,
sarah,1730458021649,id_17751461,37,no,,,
sarah,1730458021649,id_13065950,38,no,,,
sarah,1730458021649,id_89601953,39,no,,,
sarah,1730458021649,id_85129503,40,yes,bareland,2023,industrial
sarah,1730458021649,id_68203573,41,no,,,
sarah,1730458021649,id_8982793,42,yes,grassland,2021,residential
sarah,1730458021649,id_19293303,43,no,,,
sarah,1730458021649,id_5229508,44,no,,,
sarah,1730458021649,id_30508523,45,no,,,
sarah,1730458021649,id_11094418,46,no,,,
sarah,1730458021649,id_54281980,47,no,,,
sarah,1730458021649,id_99918818,48,no,,,
sarah,1730458021649,id_27845939,49,no,,,
sarah,1730458021649,id_40735883,50,yes,forest,2023,energy
sarah,1730458021649,id_72468950,51,yes,bareland,2019,residential
sarah,1730458021649,id_8631193,52,no,,,
sarah,1730458021649,id_49071446,53,yes,grassland,2023,agriculture
sarah,1730458021649,id_14987636,54,no,,,
sarah,1730458021649,id_44391061,55,no,,,
sarah,1730458021649,id_33805304,56,no,,,
sarah,1730458021649,id_31229198,57,no,,,
