selectedName,sessionID,REFID,INDEX,verification,baseline_land_use,change_type,change_type_2,confidence,timespent,notes,starred,PLOTID
zander_venter,1737315465591,a0-04531303169832_38-7098534261595,0,no,forest,NA,NA,very certain,NA,NA,NA,a0-04531303169832_38-7098534261595
zander_venter,1737315465591,a13-41513152710657_47-83830721083802,1,no,forest,NA,NA,very certain,NA,NA,NA,a13-41513152710657_47-83830721083802
zander_venter,1737315465591,a16-93807322075551_45-40602113882165,2,no,forest,NA,NA,very certain,NA,NA,NA,a16-93807322075551_45-40602113882165
zander_venter,1737315465591,a5-14691031269749_50-95077036791575,3,no,shrubland,NA,NA,moderately certain,NA,NA,NA,a5-14691031269749_50-95077036791575
zander_venter,1737315799937,a7-85922943215815_45-99628762629743,0,no,water,NA,NA,very certain,NA,NA,NA,a7-85922943215815_45-99628762629743
zander_venter,1737315799937,a-6-49442756322622_53-56368278446406,1,no,cropland,NA,NA,moderately certain,NA,NA,NA,a-6-49442756322622_53-56368278446406
zander_venter,1737315993852,a25-96403307496173_44-93793635289983,0,no,cropland,NA,NA,very certain,NA,NA,NA,a25-96403307496173_44-93793635289983
zander_venter,1737315993852,a20-66301488192324_64-4834054975267,1,no,forest,NA,NA,very certain,NA,NA,NA,a20-66301488192324_64-4834054975267
zander_venter,1737315993852,a14-55220834318987_46-18808411468467,2,no,grassland/wetland,NA,NA,moderately certain,NA,NA,NA,a14-55220834318987_46-18808411468467
zander_venter,1737315993852,a15-48579118270305_44-36048532201287,3,no,bareland,NA,NA,very certain,NA,NA,NA,a15-48579118270305_44-36048532201287
zander_venter,1737406117527,a19-58675532329417_46-86168651387365,1,yes,forest,Industry and Manufacturing,NA,very certain,323.8,NA,NA,a19-58675532329417_46-86168651387365
zander_venter,1737406117527,a24-1086239180018_54-82867410993069,2,no,grassland/wetland,NA,NA,moderately certain,130,NA,NA,a24-1086239180018_54-82867410993069
zander_venter,1737406117527,a7-51809470710427_47-82837273581611,3,yes,grassland/wetland,Residential,NA,moderately certain,120,NA,NA,a7-51809470710427_47-82837273581611
zander_venter,1737406117527,a-21-67160659054681_64-15659846561768,4,no,cropland,NA,NA,very certain,90.564,NA,NA,a-21-67160659054681_64-15659846561768
zander_venter,1737406117527,a-2-5852367205371_55-02614224215207,5,no,forest,NA,NA,very certain,277.114,NA,NA,a-2-5852367205371_55-02614224215207
zander_venter,1737406117527,a18-63095276768697_51-69749800724855,6,no,bareland,NA,NA,very certain,54.294,NA,NA,a18-63095276768697_51-69749800724855
zander_venter,1737441670527,a15-8697138752691_41-09522231844541,0,no,cropland,NA,NA,very certain,97.382,NA,NA,a15-8697138752691_41-09522231844541
zander_venter,1737441670527,a16-61635212385798_58-18769158229657,1,yes,grassland/wetland,Residential,NA,very certain,39.405,NA,NA,a16-61635212385798_58-18769158229657
zander_venter,1737441670527,a7-68629503534242_47-26660967827338,2,no,cropland,NA,NA,moderately certain,57.642,NA,NA,a7-68629503534242_47-26660967827338
zander_venter,1737441670527,a14-9025589457742_50-41990793949343,3,no,forest,NA,NA,moderately certain,42.357,NA,NA,a14-9025589457742_50-41990793949343
zander_venter,1737441670527,a25-70702178828917_59-03533220503562,4,yes,grassland/wetland,Residential,NA,moderately certain,73.415,NA,NA,a25-70702178828917_59-03533220503562
zander_venter,1737441670527,a5-34198493965318_50-56861336190552,5,no,forest,NA,NA,very certain,45.763,NA,NA,a5-34198493965318_50-56861336190552
zander_venter,1737441670527,a13-7346561185882_46-4551961322882,6,no,forest,NA,NA,moderately certain,237.764,NA,NA,a13-7346561185882_46-4551961322882
zander_venter,1737441670527,a21-28560430899113_50-96811457958262,8,no,grassland/wetland,NA,NA,moderately certain,233.076,NA,NA,a21-28560430899113_50-96811457958262
zander_venter,1737441670527,a21-82914847876206_47-06173467066629,10,yes,cropland,Residential,NA,very certain,50.514,NA,NA,a21-82914847876206_47-06173467066629
zander_venter,1737441670527,a24-81730357872243_59-36884637797609,11,no,forest,NA,NA,very certain,26.93,NA,NA,a24-81730357872243_59-36884637797609
zander_venter,1737441670527,a6-17225783862528_44-55605513561465,12,no,bareland,NA,NA,very certain,33.659,NA,NA,a6-17225783862528_44-55605513561465
zander_venter,1737441670527,a20-0268981683218_46-61988558487558,13,no,built,NA,NA,moderately certain,43.091,NA,NA,a20-0268981683218_46-61988558487558
zander_venter,1737452535936,a34-38010955603878_37-47632061546198,0,no,cropland,NA,NA,very certain,67.649,NA,NA,a34-38010955603878_37-47632061546198
zander_venter,1737452535936,a18-59694107952522_48-19209311322555,1,yes,cropland,Aquaculture and Fishing,NA,very certain,57.641,NA,NA,a18-59694107952522_48-19209311322555
zander_venter,1737452535936,a24-82650320685695_59-34039540206325,2,yes,cropland,"Transport, Communication Networks, and Logistics",NA,moderately certain,52.621,NA,NA,a24-82650320685695_59-34039540206325
zander_venter,1737452535936,a10-09573068611225_56-99257320790407,3,yes,cropland,Residential,NA,moderately certain,56.57,NA,NA,a10-09573068611225_56-99257320790407
zander_venter,1737452535936,a2-39507630927276_41-92879643530777,4,no,forest,NA,NA,very certain,37.615,NA,NA,a2-39507630927276_41-92879643530777
zander_venter,1737452535936,a20-10032742388076_46-28695653676793,5,yes,cropland,"Transport, Communication Networks, and Logistics",Energy Production,moderately certain,154.455,NA,NA,a20-10032742388076_46-28695653676793
zander_venter,1737452535936,a-0-85651913510059_38-51090893751918,6,yes,cropland,Agriculture,NA,moderately certain,57.958,NA,NA,a-0-85651913510059_38-51090893751918
leopold_salzenstein,1737466844349,a15-18452243192915_45-7879312406615,0,yes,grassland/wetland,Uncertain,NA,moderately certain,283.58,NA,NA,a15-18452243192915_45-7879312406615
leopold_salzenstein,1737466844349,a25-63837365270359_42-44782166321832,1,no,cropland,NA,NA,very certain,105.641,NA,NA,a25-63837365270359_42-44782166321832
leopold_salzenstein,1737466844349,a2-72246030273078_44-47674811030717,2,yes,cropland,NA,NA,moderately certain,699.367,NA,NA,a2-72246030273078_44-47674811030717
leopold_salzenstein,1737466844349,a7-37050069950549_44-01375301884495,3,no,shrubland,NA,NA,very certain,67.767,NA,NA,a7-37050069950549_44-01375301884495
leopold_salzenstein,1737466844349,a-14-39197775953076_65-29129299312773,4,no,built,NA,NA,very certain,60.046,NA,NA,a-14-39197775953076_65-29129299312773
leopold_salzenstein,1737466844349,a3-24046468606424_51-16317356504959,5,yes,forest,Residential,NA,moderately certain,152.863,NA,NA,a3-24046468606424_51-16317356504959
leopold_salzenstein,1737466844349,a-9-31810228970667_54-07376359590508,6,no,built,NA,NA,very certain,48.806,NA,NA,a-9-31810228970667_54-07376359590508
leopold_salzenstein,1737466844349,a6-62329494506573_46-89197171739571,7,no,forest,NA,NA,very certain,87.851,NA,NA,a6-62329494506573_46-89197171739571
leopold_salzenstein,1737466844349,a-8-5034371221124_42-71657207265075,8,no,built,NA,NA,very certain,80.251,NA,NA,a-8-5034371221124_42-71657207265075
