stratum,area,prop,se,pa,ua,seUa,sePa,oa,ciArea,f1,takeType,country,area_mapped
crop/built stable,9620.120666014673,0.2419178852849514,1147.0831877386229,0.5202717361306682,0.97435897435897445,0.0256410256410256,0.061974835162173676,0.8791975357865595,2248.2417352390976,0.6783367043731754,merged,CHE,5169.726643821383
land take,32.22246921678446,8.103008145336762e-4,3.948425683819333,0.7885446734485421,0.6363636363636364,0.055179725333353094,0.08147675381734744,0.8791975357865595,7.738772135918826,0.7043276432250357,merged,CHE,39.92820301840072
nature stable,30113.714900053033,0.7572718139005149,1147.0843260269833,0.9939568928891764,0.8679245283018868,0.03304132210456276,0.004357895289230276,0.8791975357865595,2248.243966243288,0.9266750906847582,merged,CHE,34556.40318844471
crop/built stable,9618.85849918446,0.24188614548240184,1147.083357719545,0.5203400051178976,0.97435897435897445,0.0256410256410256,0.0619909194554602,0.8789058532033065,2248.242068395583,0.6783947278562561,separate,CHE,5169.726643821383
cropland loss,15.513193120370365,3.90111413774166e-4,3.0175709664334573,0.28506668047693723,0.5897435897435898,0.07979349797082042,0.06094433239377322,0.8789058532033065,5.9143304150033,0.38434904843624706,separate,CHE,7.498673225671476
nature loss,15.266799719025915,3.839153407028591e-4,3.775161853891472,0.6148960908039817,0.2894736842105263,0.07455791696866067,0.13174110869651617,0.8789058532033065,7.399181269436745,0.3936359699965061,separate,CHE,32.42952979272925
nature stable,30116.419543260636,0.7573398277631211,1147.085559868195,0.9938676293312976,0.8679245283018868,0.03304132210456276,0.004357645936395677,0.8789058532033065,2248.246384527626,0.9266362948681335,separate,CHE,34556.40318844471
crop/built stable,3015.3141274050486,0.03018885235846492,1407.5368662910153,0.05320135551673451,0.7105263157894737,0.07455791696866067,0.025388699457717358,0.970369214647805,2758.7215648427587,0.09899068621059685,merged,ISL,228.5938184001378
land take,7.6121557727385785,7.621171030383062e-5,1.2444934801692789,0.83052523542084,0.41772151898734183,0.05584206799976502,0.1014280719425923,0.970369214647805,2.439162400126698,0.5558648747487406,merged,ISL,15.134694234905796
nature stable,96858.78142803164,0.9697349359312312,1407.5371247693708,0.9989325898648387,0.9714285714285714,0.014130710990583528,1.7561237286258853e-4,0.970369214647805,2758.7220714510263,0.9849886181159256,merged,ISL,99637.97919857438
crop/built stable,3011.86337582386,0.030154303974578998,1407.5367198728486,0.05326230936449015,0.7105263157894737,0.07455791696866067,0.02544557458688024,0.970366519034566,2758.7212778684257,0.09909619283885447,separate,ISL,228.5938184001378
cropland loss,2.048884322029966,2.0513108646019134e-5,0.8086149984881368,5.305492721571819e-4,0.20512820512820512,0.06550424345215437,2.692885847634733e-4,0.970366519034566,1.584856274395658,0.0010583611696666642,separate,ISL,0.005299291168212891
nature loss,7.185746882085709,7.194257133510418e-5,1.4944147857140113,0.8421891386937458,0.4,0.07844645405527362,0.10957845326545058,0.970366519034566,2.9289991579636037,0.542390276945664,separate,ISL,15.129394943737584
nature stable,96860.60970418145,0.9697532403454399,1407.5374104522991,0.9989137346807251,0.9714285714285714,0.014130710990583528,1.7587351538611882e-4,0.970366519034566,2758.722631379277,0.9849794517962792,separate,ISL,99637.97919857438
crop/built stable,6827.5841183121,0.022561296835772026,1959.5045071141546,0.7130469006724689,0.6904761904761905,0.07219871305887661,0.19877166681065703,0.985672507155744,3840.558261487652,0.701580060509361,merged,NOR,7097.638526191372
land take,207.36853624659517,6.852355122379061e-4,15.805414442196529,0.6266408543017445,0.8333333333333334,0.04090672447281799,0.04518342460797755,0.985672507155744,30.978043067434417,0.715356088266192,merged,NOR,155.9347160506424
nature stable,295588.79136208113,0.97675346765199,1959.5321118846293,0.9922215583578163,0.9935897435897436,0.006410256410256399,0.0017103035298560389,0.985672507155744,3840.6123658435845,0.9929051796473184,merged,NOR,295370.1707743978
crop/built stable,6819.547033819006,0.022534738825529935,1959.5031012619172,0.7138872524084161,0.6904761904761905,0.07219871305887661,0.19923086076462482,0.9856261716724245,3840.5555060679,0.7019865875460276,separate,NOR,7097.638526191372
cropland loss,32.19514038828422,1.0638669643355534e-4,9.151798427177402,0.15559937322769407,0.4390243902439025,0.07846686801046543,0.049890715643162976,0.9856261716724245,17.937195311038018,0.22976518649303815,separate,NOR,11.410627237843354
nature loss,184.93533410106497,6.111064903449753e-4,17.03391460652648,0.5997438842049897,0.7674418604651163,0.0651874314629521,0.05033730578395461,0.9856261716724245,33.38585914452266,0.673308018447651,separate,NOR,144.52408881279905
nature stable,295587.06650833145,0.9767477679876915,1959.533611149735,0.992227348317085,0.9935897435897436,0.006410256410256399,0.001710341758621389,0.9856261716724245,3840.6153043491945,0.9929080786090434,separate,NOR,295370.1707743978
crop/built stable,96134.49997591061,0.3997556308907232,7526.0250805206615,0.583693962533799,0.92,0.03875617133214438,0.04457416645434443,0.8103281247817854,14750.738104565655,0.7142390126062966,merged,GBR,61318.66373127075
land take,604.2446765042604,0.002512627744762278,48.09008492183049,0.8075943588756537,0.6956521739130435,0.04823479967175905,0.046927204200740334,0.8103281247817854,94.25483446026044,0.7474552698279583,merged,GBR,701.4778511803845
nature stable,143744.42193039643,0.5977317413645146,7526.037965378827,0.9619097544273223,0.7777777777777778,0.04019107472557347,0.015935680201243484,0.8103281247817854,14750.763358423605,0.8600993194139275,merged,GBR,178463.02500036015
crop/built stable,96145.1039191784,0.3997997252172345,7526.0469274903635,0.5836295863210523,0.92,0.03875617133214438,0.04456509349177284,0.8096684545461614,14750.780923839442,0.7141908144134135,separate,GBR,61318.66373127075
cropland loss,213.77249356932438,8.889291363173689e-4,38.36223794058933,0.3099578738406901,0.5609756097560976,0.07846686801046543,0.061711994752020806,0.8096684545461614,75.18860472991108,0.3992929668024674,separate,GBR,118.11648570813853
