PLOTID,country,m,r
a7-33941132364701_47-41510125834054,CHE,buffer nature stable,buffer crop/built stable
a7-83619155493412_47-57592228000586,CHE,buffer nature stable,buffer nature stable
a7-69431800400102_47-46731294107149,CHE,buffer nature stable,buffer nature stable
a7-33028401934533_47-19044630708586,CHE,buffer nature stable,buffer nature stable
a8-10156276255079_47-10483632382891,CHE,buffer nature stable,buffer nature stable
a7-1501258678302_46-91022233147673,CHE,buffer nature stable,buffer nature stable
a7-14514056071305_46-74288408400163,CHE,buffer nature stable,buffer nature stable
a7-57170181529897_47-20521253726678,CHE,buffer nature stable,buffer crop/built stable
a7-28642391554954_46-81473098279726,CHE,buffer nature stable,buffer nature stable
a8-21160380011483_47-22943439979756,CHE,buffer nature stable,buffer nature stable
a7-64733629397948_47-02297739526234,CHE,buffer nature stable,buffer nature stable
a7-44530682594618_46-83689702857753,CHE,buffer nature stable,buffer nature stable
a7-61581020017494_46-83953785610566,CHE,buffer nature stable,buffer nature stable
a7-42408722801029_46-50018482214453,CHE,buffer nature stable,buffer crop/built stable
a7-18351516122222_46-64370866198412,CHE,buffer nature stable,buffer nature stable
a7-69433120539194_47-14457791605975,CHE,buffer nature stable,buffer crop/built stable
a7-5227350164223_47-202575053157,CHE,buffer nature stable,cropland loss
a7-58660809428048_46-8017777889972,CHE,buffer nature stable,buffer crop/built stable
a6-30649796418554_46-44003536419218,CHE,buffer nature stable,buffer nature stable
a6-13164549196166_46-16663382530771,CHE,buffer nature stable,buffer crop/built stable
a7-2300724351066_46-15527040504077,CHE,buffer nature stable,nature loss
a7-4652870601883_46-4443149506013,CHE,buffer nature stable,buffer crop/built stable
a8-75861971796005_47-4081984101601,CHE,buffer nature stable,buffer crop/built stable
a9-54528927619469_47-46643771038691,CHE,buffer nature stable,buffer nature stable
a9-59259421305723_47-41783975317449,CHE,buffer nature stable,buffer crop/built stable
a9-19899803208724_46-99731945574673,CHE,buffer nature stable,buffer nature stable
a9-43464778822746_47-31685955152237,CHE,buffer nature stable,buffer nature stable
a8-55562123680893_47-05016135473702,CHE,buffer nature stable,buffer nature stable
a9-18429404760937_46-77625487329548,CHE,buffer nature stable,buffer nature stable
a8-77668345611362_47-01722937123861,CHE,buffer nature stable,buffer nature stable
a9-66979778596781_47-04245356527894,CHE,buffer nature stable,buffer nature stable
a9-31543180828344_46-68090884421865,CHE,buffer nature stable,buffer crop/built stable
a9-55546944402283_46-69333305538962,CHE,buffer nature stable,buffer crop/built stable
a6-60060174716002_46-5717071263202,CHE,buffer nature stable,nature loss
a6-6974487508445_46-97995251645874,CHE,buffer nature stable,nature loss
a6-87900236352211_46-66044360420843,CHE,buffer nature stable,buffer crop/built stable
a7-09666621203687_46-73924612679846,CHE,buffer nature stable,buffer crop/built stable
a6-21721402608663_46-45999931684315,CHE,buffer nature stable,buffer nature stable
a6-75770428211433_47-05592498162093,CHE,buffer nature stable,buffer nature stable
a8-18839567272729_47-55145378089215,CHE,buffer crop/built stable,buffer nature stable
a8-01355075520316_47-51150011245795,CHE,buffer crop/built stable,buffer nature stable
a7-65775474304636_47-53091304402432,CHE,buffer crop/built stable,buffer crop/built stable
a8-01355278585406_47-52527480289237,CHE,buffer crop/built stable,buffer crop/built stable
a7-4812923974344_47-42405780597723,CHE,buffer crop/built stable,buffer crop/built stable
a7-54142839653437_47-42750274769804,CHE,buffer crop/built stable,buffer crop/built stable
a7-82917131730502_47-23011710268975,CHE,buffer crop/built stable,buffer crop/built stable
a7-27247192653118_46-97067133665965,CHE,buffer crop/built stable,buffer crop/built stable
a7-81987736328152_47-30403960620974,CHE,buffer crop/built stable,buffer crop/built stable
a7-17932820566314_46-61188435421334,CHE,buffer crop/built stable,buffer crop/built stable
a7-70202268158673_47-14951413872384,CHE,buffer crop/built stable,buffer crop/built stable
a8-11496718347962_47-15315463919026,CHE,buffer crop/built stable,buffer crop/built stable
a7-23982623760597_46-91669530603771,CHE,buffer crop/built stable,buffer nature stable
a7-58742998372528_46-80098549414907,CHE,buffer crop/built stable,buffer crop/built stable
a7-58474885700551_47-09995412731696,CHE,buffer crop/built stable,buffer crop/built stable
a7-73154501948966_47-16481455029799,CHE,buffer crop/built stable,buffer crop/built stable
a7-24020459557905_47-14468877485387,CHE,buffer crop/built stable,buffer crop/built stable
a7-78972325919751_47-167186174252,CHE,buffer crop/built stable,buffer crop/built stable
a7-1891635660022_46-73187916918923,CHE,buffer crop/built stable,buffer crop/built stable
a7-7039113235059_46-61229462372496,CHE,buffer crop/built stable,buffer crop/built stable
a8-11164730884211_47-22684198981111,CHE,buffer crop/built stable,buffer crop/built stable
a6-1296817461438_46-16692329245857,CHE,buffer crop/built stable,buffer crop/built stable
a6-15270987407007_46-37918110380526,CHE,buffer crop/built stable,buffer crop/built stable
a7-43233500873619_46-24998785439318,CHE,buffer crop/built stable,buffer crop/built stable
a7-44341901553457_46-34937004737273,CHE,buffer crop/built stable,buffer crop/built stable
a7-15822556279218_46-08209260172518,CHE,buffer crop/built stable,buffer crop/built stable
a8-58491549044799_47-5767562073472,CHE,buffer crop/built stable,buffer crop/built stable
a8-45258676699955_47-45244377107069,CHE,buffer crop/built stable,buffer crop/built stable
a8-5542216075883_47-49614865641305,CHE,buffer crop/built stable,buffer crop/built stable
a8-62085180567498_47-67379908878927,CHE,buffer crop/built stable,buffer crop/built stable
a8-44243104442261_47-45076873014514,CHE,buffer crop/built stable,buffer crop/built stable
a8-79551192087387_47-35910148816577,CHE,buffer crop/built stable,buffer crop/built stable
a8-93881727088913_47-26670075730197,CHE,buffer crop/built stable,buffer crop/built stable
a8-42828160996863_47-2965289340795,CHE,buffer crop/built stable,buffer crop/built stable
a9-68303105310928_46-78832834719619,CHE,buffer crop/built stable,buffer crop/built stable
a8-44831150588528_47-18301489900109,CHE,buffer crop/built stable,buffer crop/built stable
a8-7775313817611_46-68073771310553,CHE,buffer crop/built stable,buffer nature stable
a7-01795537453999_46-69411827732518,CHE,buffer crop/built stable,buffer crop/built stable
a6-68417778805612_46-69805046163464,CHE,buffer crop/built stable,buffer crop/built stable
a7-03237360760894_47-02452529169496,CHE,buffer crop/built stable,buffer crop/built stable
a7-9146142884352_47-44707962576386,CHE,crop/built stable,crop/built stable
a8-24998062198436_47-61142260450784,CHE,crop/built stable,crop/built stable
a8-96933932802366_46-35916062372245,CHE,crop/built stable,crop/built stable
a7-13646791168026_46-82337651908806,CHE,crop/built stable,crop/built stable
a8-02905503962854_47-16999701765803,CHE,crop/built stable,crop/built stable
a7-29603701380795_46-89820899851436,CHE,crop/built stable,crop/built stable
a7-45056235030906_46-99663380996882,CHE,crop/built stable,crop/built stable
a7-3955021191127_47-16321060731863,CHE,crop/built stable,crop/built stable
a8-07781293710403_47-23165090806447,CHE,crop/built stable,crop/built stable
a7-13145006586711_46-80477457109286,CHE,crop/built stable,crop/built stable
a8-37231463659773_47-11239167712031,CHE,crop/built stable,crop/built stable
a7-49806239103161_47-11428893777433,CHE,crop/built stable,crop/built stable
a7-10455504012021_46-86288516914304,CHE,crop/built stable,crop/built stable
a8-06354117796755_47-16800669178684,CHE,crop/built stable,crop/built stable
a7-48744532359583_46-95651455908582,CHE,crop/built stable,crop/built stable
a7-6984460201998_47-26668763038726,CHE,crop/built stable,crop/built stable
a7-57357065638625_46-70915461013398,CHE,crop/built stable,crop/built stable
a8-17736810141006_47-26488069851313,CHE,crop/built stable,crop/built stable
a7-14193658604238_46-94261676457716,CHE,crop/built stable,crop/built stable
a6-24523955202802_46-41888577082949,CHE,crop/built stable,crop/built stable
